"long";"lat"
10.72184;59.69516
10.74786;59.77929
10.74786;59.77929
10.74786;59.77929
10.74786;59.77929
10.74786;59.77929
16.2535;56.6814
16.2531;56.6818
17.4768;59.7406
4.48;52.18
16.4717;61.1294
16.5515;64.6626
13.7049;58.51
16.4789;61.1289
21.2352;65.5474
21.234;65.5471
21.2342;65.5467
16.4789;61.1289
17.9008;59.5313
11.6096;57.7728
16.4717;61.1294
21.2342;65.5455
13.5887;56.1472
21.2364;65.5469
11.6096;57.7728
17.9169;59.8397
15.3453;58.9136
16.333;56.6864
12.2805;57.426
16.3139;56.6797
16.7699;63.2529
16.093;64.0445
12.2804;57.426
13.6872;58.5016
16.2013;57.0093
22.3926;65.5542
15.0677;64.3414
16.333;56.6864
16.7525;63.2628
22.3946;65.5548
22.3095;65.5709
22.3684;65.5718
15.0678;64.3409
15.127;64.4512
15.1313;59.2657
17.9008;59.8383
12.2852;57.4327
14.5557;56.0302
17.9008;59.5312
12.2852;57.4327
16.3139;56.6797
17.8988;59.5307
15.1515;64.4338
25.1836;60.3560999991898
10.50643;59.9263
10.63137;59.92049
13.0661;56.7308
17.9041;59.5898
22.4;38.01
22.4;38.01
12.6939;60.9661
16.272;59.5256
10.34255;59.22247
14.9198;56.1717
15.6086;58.3801
18.1559;59.3543
15.6121;58.3675
15.6144;58.3806
17.3891;59.6558
16.8253;60.2614
17.6211;59.6867
16.0288;62.504
16.4917;61.2773
20.3376;63.8003
17.3891;59.6558
15.6421;60.5757
15.4551;60.4495
15.7555;58.2776
15.5439;60.5108
17.0135;60.6615
16.1751;61.7327
13.4013;56.5867
17.6211;59.6867
15.541;60.5096
17.0135;60.6615
16.1721;61.7365
16.1523;61.7872
15.2308;60.2632
16.1523;61.7872
15.5391;60.4209
15.541;60.5096
15.352;60.3277
16.158;61.8051
16.8254;60.2614
16.8223;60.2613
17.6202;59.6835
15.277;60.3023
15.541;60.5096
16.0288;62.504
15.6616;58.2061
15.7742;58.3317
15.2336;60.3013
15.277;60.3023
16.1523;61.7872
16.9015;60.2883
16.7221;60.1927
15.6182;60.5395
15.3714;60.4031
15.277;60.3023
15.3714;60.4031
16.3866;61.3911
16.1571;61.7808
15.6106;58.367
16.8221;60.2611
15.6425;60.5509
15.6425;60.5509
15.4651;60.4474
16.8133;60.2584
13.7094;58.5017
21.7268;66.0154
22.2328;65.6405
13.6245;58.4496
16.1523;61.7872
13.1482;57.45
16.1721;61.7365
16.1523;61.7872
13.4013;56.5867
15.4507;60.4521
13.5189;58.1757
21.7226;66.0148
15.5391;60.4209
13.7043;58.5066
30.46477;63.38712
15.3928;60.4407
