;egg;L1;L2;L3;pupae;total;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year
KSW18002;155;24.5;94.25;;;;18;Klatovy;0.006451613;0.040816327;0.01061008;;;;2013
DSW18026;112.5;72;95;;;;18;Domazlice;0.008888889;0.013888889;0.010526316;;;;2013
PSW21047;88.5;96;95;;;;21;Praha;0.011299435;0.010416667;0.010526316;;;;2013
PSW18013;131.25;74;95.5;;;;18;Praha;0.007619048;0.013513514;0.010471204;;;;2013
PSW1803004;;;95.5;;;;18;Praha;;;0.010471204;;;;2013
KSW18001;;47.5;96;;;;18;Klatovy;;0.021052632;0.010416667;;;;2013
BSW21027;107;49;96;;;;21;Bestvi;0.009345794;0.020408163;0.010416667;;;;2013
KSW18008;158.75;49;96;;;;18;Klatovy;0.006299213;0.020408163;0.010416667;;;;2013
93P15;144;96;96;;;;15;Praha;0.006944444;0.010416667;0.010416667;;;;2012
PSW15004;181.8750007;125;96;;;;15;Praha;0.005498282;0.008;0.010416667;;;;2013
5B15;96;192;96;;;;15;Bestvi;0.010416667;0.005208333;0.010416667;;;;2012
6B15;96;192;96;;;;15;Bestvi;0.010416667;0.005208333;0.010416667;;;;2012
7B15;96;192;96;;;;15;Bestvi;0.010416667;0.005208333;0.010416667;;;;2012
8B15;96;192;96;;;;15;Bestvi;0.010416667;0.005208333;0.010416667;;;;2012
9B15;96;192;96;;;;15;Bestvi;0.010416667;0.005208333;0.010416667;;;;2012
115B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
116B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
117B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
118B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
119B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
120B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
121B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
122B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
123B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
124B25;;;96;;;;25;Bestvi;;;0.010416667;;;;2012
98P15;;;96;;;;15;Praha;;;0.010416667;;;;2012
BSW18001;133;46.5;98;;;;18;Bestvi;0.007518797;0.021505376;0.010204082;;;;2013
BSW18002;;46.5;98;;;;18;Bestvi;;0.021505376;0.010204082;;;;2013
PSW15001;180;94;98;;;;15;Praha;0.005555556;0.010638298;0.010204082;;;;2013
DSW18011;;47.75;98.75;;;;18;Domazlice;;0.020942408;0.010126582;;;;2013
BSW18019;180.7500007;25;100;;;;18;Bestvi;0.005532503;0.04;0.01;;;;2013
PSW18024;180.7500007;25;100;;;;18;Praha;0.005532503;0.04;0.01;;;;2013
PSW18026;180.7500007;25;100;;;;18;Praha;0.005532503;0.04;0.01;;;;2013
DSW18020;137.7500007;68;100;;;;18;Domazlice;0.007259528;0.014705882;0.01;;;;2013
PSW21071;86;90.5;100.5;;;;21;Praha;0.011627907;0.011049724;0.009950249;;;;2013
KSW18011;133;114.5;100.5;;;;18;Klatovy;0.007518797;0.008733624;0.009950249;;;;2013
PSW18039;133;114.5;100.5;;;;18;Praha;0.007518797;0.008733624;0.009950249;;;;2013
BSW18034;160.5;24;114.5;;;;18;Bestvi;0.00623053;0.041666667;0.008733624;;;;2013
BSW18028;112.5;72;114.5;;;;18;Bestvi;0.008888889;0.013888889;0.008733624;;;;2013
DSW18015;158.25;25.5;119;;;;18;Domazlice;0.006319115;0.039215686;0.008403361;;;;2013
BSW18024;155;27;121;;;;18;Bestvi;0.006451613;0.037037037;0.008264463;;;;2013
DSW18016;111.25;95;121;;;;18;Domazlice;0.008988764;0.010526316;0.008264463;;;;2013
DSW18018;137.7500007;95;121;;;;18;Domazlice;0.007259528;0.010526316;0.008264463;;;;2013
PSW18001;;46;121.5;;;;18;Praha;;0.02173913;0.008230453;;;;2013
PSW15003;180;94;125.5;;;;15;Praha;0.005555556;0.010638298;0.007968127;;;;2013
PSW21049;88.5;96;138.75;;;;21;Praha;0.011299435;0.010416667;0.007207207;;;;2013
PSW21026;86.375;76.5;144;;;;21;Praha;0.011577424;0.013071895;0.006944444;;;;2013
15P15;;;144;;;;15;Praha;;;0.006944444;;;;2012
PSW21051;113.0000007;44;147;;;;21;Praha;0.008849557;0.022727273;0.006802721;;;;2013
KSW1801006;155.5;24.5;147.5;;;;18;Klatovy;0.006430868;0.040816327;0.006779661;;;;2013
DSW18017;111.25;68;148;;;;18;Domazlice;0.008988764;0.014705882;0.006756757;;;;2013
PSW18005;133;94.25;151.25;;;;18;Praha;0.007518797;0.01061008;0.00661157;;;;2013
DSW18023;105.5;100;167;;;;18;Domazlice;0.009478673;0.01;0.005988024;;;;2013
25B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
26B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
27B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
28B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
29B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
30B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
31B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
32B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
33B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
34B15;72;72;168;;;;15;Bestvi;0.013888889;0.013888889;0.005952381;;;;2012
