individual;development;r;DT;mortality_total;mortality_L2;mortality_L3;temp;loc;year;stage
PSW18021;137.7500007;0.007259528;2479.500013;0;0;0;18;Praha;2013;egg
PSW18019;137.7500007;0.007259528;2479.500013;1;1;1;18;Praha;2013;egg
86P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
87P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
88P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
89P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
90P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
91P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
92P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
93P15;144;0.006944444;2160;0;1;0;15;Praha;2012;egg
45B15;144;0.006944444;2160;0;0;0;15;Bestvi;2012;egg
46B15;144;0.006944444;2160;0;0;0;15;Bestvi;2012;egg
94P15;144;0.006944444;2160;0;0;0;15;Praha;2012;egg
95P15;144;0.006944444;2160;0;0;0;15;Praha;2012;egg
96P15;144;0.006944444;2160;0;0;0;15;Praha;2012;egg
97P15;144;0.006944444;2160;0;0;0;15;Praha;2012;egg
PSW18028;154.25;0.006482982;2776.5;0;1;0;18;Praha;2013;egg
BSW18020;154.25;0.006482982;2776.5;0;1;0;18;Bestvi;2013;egg
BSW18023;154.25;0.006482982;2776.5;0;1;0;18;Bestvi;2013;egg
KSW18005;154.25;0.006482982;2776.5;0;1;0;18;Klatovy;2013;egg
PSW18027;154.25;0.006482982;2776.5;0;1;0;18;Praha;2013;egg
PSW18029;154.25;0.006482982;2776.5;0;1;0;18;Praha;2013;egg
KSW18004;154.25;0.006482982;2776.5;0;0;0;18;Klatovy;2013;egg
BSW18021;154.25;0.006482982;2776.5;0;0;0;18;Bestvi;2013;egg
BSW18022;154.25;0.006482982;2776.5;0;0;0;18;Bestvi;2013;egg
PSW18012;155;0.006451613;2790;0;1;0;18;Praha;2013;egg
