;egg;L1;L2;L3;pupae;total;temp;loc;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
BSW18002;NA;1.9375;4.083333333;NA;NA;NA;18;Bestvi;2013;NA;34.875;73.5;NA;NA;NA
PSW15001;7.5;3.916666667;4.083333333;NA;NA;NA;15;Praha;2013;112.5;58.75;61.25;NA;NA;NA
DSW18011;NA;1.989583333;4.114583333;NA;NA;NA;18;Domazlice;2013;NA;35.8125;74.0625;NA;NA;NA
BSW18019;7.531250029;1.041666667;4.166666667;NA;NA;NA;18;Bestvi;2013;135.5625005;18.75;75;NA;NA;NA
PSW18024;7.531250029;1.041666667;4.166666667;NA;NA;NA;18;Praha;2013;135.5625005;18.75;75;NA;NA;NA
PSW18026;7.531250029;1.041666667;4.166666667;NA;NA;NA;18;Praha;2013;135.5625005;18.75;75;NA;NA;NA
DSW18020;5.739583363;2.833333333;4.166666667;NA;NA;NA;18;Domazlice;2013;103.3125005;51;75;NA;NA;NA
PSW21071;3.583333333;3.770833333;4.1875;NA;NA;NA;21;Praha;2013;75.25;79.1875;87.9375;NA;NA;NA
KSW18011;5.541666667;4.770833333;4.1875;NA;NA;NA;18;Klatovy;2013;99.75;85.875;75.375;NA;NA;NA
PSW18039;5.541666667;4.770833333;4.1875;NA;NA;NA;18;Praha;2013;99.75;85.875;75.375;NA;NA;NA
BSW18034;6.6875;1;4.770833333;NA;NA;NA;18;Bestvi;2013;120.375;18;85.875;NA;NA;NA
BSW18028;4.6875;3;4.770833333;NA;NA;NA;18;Bestvi;2013;84.375;54;85.875;NA;NA;NA
DSW18015;6.59375;1.0625;4.958333333;NA;NA;NA;18;Domazlice;2013;118.6875;19.125;89.25;NA;NA;NA
BSW18024;6.458333333;1.125;5.041666667;NA;NA;NA;18;Bestvi;2013;116.25;20.25;90.75;NA;NA;NA
DSW18016;4.635416667;3.958333333;5.041666667;NA;NA;NA;18;Domazlice;2013;83.4375;71.25;90.75;NA;NA;NA
DSW18018;5.739583363;3.958333333;5.041666667;NA;NA;NA;18;Domazlice;2013;103.3125005;71.25;90.75;NA;NA;NA
PSW18001;NA;1.916666667;5.0625;NA;NA;NA;18;Praha;2013;NA;34.5;91.125;NA;NA;NA
PSW15003;7.5;3.916666667;5.229166667;NA;NA;NA;15;Praha;2013;112.5;58.75;78.4375;NA;NA;NA
PSW21049;3.6875;4;5.78125;NA;NA;NA;21;Praha;2013;77.4375;84;121.40625;NA;NA;NA
PSW21026;3.598958333;3.1875;6;NA;NA;NA;21;Praha;2013;75.578125;66.9375;126;NA;NA;NA
15P15;NA;NA;6;NA;NA;NA;15;Praha;2012;NA;NA;90;NA;NA;NA
PSW21051;4.708333363;1.833333333;6.125;NA;NA;NA;21;Praha;2013;98.87500061;38.5;128.625;NA;NA;NA
KSW1801006;6.479166667;1.020833333;6.145833333;NA;NA;NA;18;Klatovy;2013;116.625;18.375;110.625;NA;NA;NA
DSW18017;4.635416667;2.833333333;6.166666667;NA;NA;NA;18;Domazlice;2013;83.4375;51;111;NA;NA;NA
PSW18005;5.541666667;3.927083333;6.302083333;NA;NA;NA;18;Praha;2013;99.75;70.6875;113.4375;NA;NA;NA
DSW18023;4.395833333;4.166666667;6.958333333;NA;NA;NA;18;Domazlice;2013;79.125;75;125.25;NA;NA;NA
25B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
26B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
27B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
28B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
29B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
30B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
31B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
32B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
33B15;3;3;7;NA;NA;NA;15;Bestvi;2012;45;45;105;NA;NA;NA
