No.;FAM;ROD;DRUH;LOKALITA;STATE/PROV;ZEME;CMP;CMP2;DEN_POC;MES_POC;ROK_POC;DEN_KON;MES_KON;ROK_KON;POCET_M;POCET_F;BIOTOP;METRU_OD;METRU_DO;METODA_SB;LEG;COLL;DET;ROK;REV;ROK;ZDROJ;POZN.;lat;long
20989;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;;3;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M51.9S;13D49M11.4S
20999;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;;2;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M52.3S;13D49M10.9S
20965;Leiodidae;Sciodrepoides;watsoni;Hoøenec;Bohemia;Czech Republic;5548;;23;4;2012;18;5;2012;1;;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D27M52.8S;13D49M10.9S
21019;Leiodidae;Sciodrepoides;watsoni;Mìrunice;Bohemia;Czech Republic;5548;;19;6;2012;23;7;2012;1;3;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D28M05.1S;13D49M45.7S
21014;Leiodidae;Sciodrepoides;watsoni;Mìrunice;Bohemia;Czech Republic;5548;;18;5;2012;19;6;2012;2;1;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D28M05.9S;13D49M46.2S
21008;Leiodidae;Sciodrepoides;watsoni;Mìrunice;Bohemia;Czech Republic;5548;;18;5;2012;19;6;2012;1;2;;;;pitfall trap;T. Kadlec;J. Rùžièka (Praha);J. Rùžièka;2013;;;PC;;50D28M09.5S;13D49M51.3S
4884;Leiodidae;Sciodrepoides;watsoni;CHKO Broumovsko, Rožmitál;Bohemia;Czech Republic;5364;;21;6;2000;;;;1;1;quarry;560;;;B. Mocek;M. Mikát;J. Rùžièka;2003;;;Chol6;;50D37M00S;16D22M00S
;;Sciodrepoides;watsoni;Raná;Bohemia;Czech Republic;;;15;4;2012;12;5;2012;;;;;;pitfall trap;;;;;;;;;50.4110347;13.7751325
;;Sciodrepoides;watsoni;Praha 6, Sedlec env.;Bohemia;Czech Republic;;;15;4;2012;12;5;2012;;;;;;pitfall trap;;;;;;;;;50.1288686;14.3946561
;;Sciodrepoides;watsoni;Praha 6, Sedlec env.;Bohemia;Czech Republic;;;15;4;2013;12;5;2013;;;;;;pitfall trap;;;;;;;;;50.1288686;14.3946561
;;Sciodrepoides;watsoni;Bìstvina;Bohemia;Czech Republic;;;;;2012;;;2012;;;;;;pitfall trap;;;;;;;;;49.8311261;15.5797678
;;Sciodrepoides;watsoni;Bìstvina;Bohemia;Czech Republic;;;;;2013;;;2013;;;;;;pitfall trap;;;;;;;;;49.8311261;15.5797678
;;Sciodrepoides;watsoni;Domažlice;Bohemia;Czech Republic;;;28;4;2013;12;5;2013;;;;;;pitfall trap;;;;;;;;;49.4298514;12.8926858
;;Sciodrepoides;watsoni;Klatovy;Bohemia;Czech Republic;;;14;4;2013;28;4;2013;;;;;;pitfall trap;;;;;;;;;49.367055;13.3101694
