indiv;egg;L1;L2;L3;pupae;total;temp;loc;year
11P15;96,0000;144,0000;72,0000;NA;NA;NA;15;Praha;2012
1B15;72,0000;144,0000;72,0000;408,0000;384,0000;1080,0000;15;Bestvi;2012
2B15;72,0000;144,0000;72,0000;408,0000;384,0000;1080,0000;15;Bestvi;2012
57B21;NA;NA;72,0000;NA;NA;NA;21;Bestvi;2012
66P15;48,0000;NA;72,0000;NA;NA;NA;15;Praha;2012
67P15;48,0000;NA;72,0000;NA;NA;NA;15;Praha;2012
BSW18025;155,0000;27,0000;73,0000;NA;NA;NA;18;Bestvi;2013
PSW21036;105.5;27,0000;73,0000;NA;NA;672,0000;21;Praha;2013
PSW18025;180.7500007;52,0000;73,0000;NA;NA;NA;18;Praha;2013
BSW18020;154.25;52,0000;73,0000;NA;NA;NA;18;Bestvi;2013
BSW18023;154.25;52,0000;73,0000;NA;NA;NA;18;Bestvi;2013
KSW18005;154.25;52,0000;73,0000;NA;NA;NA;18;Klatovy;2013
PSW18027;154.25;52,0000;73,0000;NA;NA;NA;18;Praha;2013
PSW18029;154.25;52,0000;73,0000;NA;NA;NA;18;Praha;2013
KSW18013;158.5;95,0000;73,0000;NA;NA;NA;18;Klatovy;2013
BSW18016;137.7500007;95,0000;73,0000;NA;NA;NA;18;Bestvi;2013
PSW18019;137.7500007;95,0000;73,0000;NA;NA;816,0000;18;Praha;2013
PSW18033;132.5;147,0000;73,0000;NA;NA;NA;18;Praha;2013
KSW1801004;NA;71,0000;73.5;NA;NA;NA;18;Klatovy;2013
PSW21020;107,0000;48,0000;74,0000;NA;NA;NA;21;Praha;2013
PSW18007;NA;72.5;74,0000;NA;NA;NA;18;Praha;2013
PSW21055;113.0000007;44,0000;76,0000;NA;NA;NA;21;Praha;2013
BSW18014;137.7500007;68,0000;76,0000;NA;NA;NA;18;Bestvi;2013
BSW18015;137.7500007;68,0000;76,0000;NA;NA;NA;18;Bestvi;2013
BSW18017;137.7500007;68,0000;76,0000;NA;NA;NA;18;Bestvi;2013
PSW18022;137.7500007;68,0000;76,0000;NA;NA;NA;18;Praha;2013
PSW21034;137.7500007;68,0000;76,0000;NA;NA;NA;21;Praha;2013
PSW21030;87,0000;68,0000;76,0000;NA;NA;NA;21;Praha;2013
PSW21032;87,0000;68,0000;76,0000;NA;NA;NA;21;Praha;2013
BSW18009;113.7500007;92,0000;76,0000;NA;NA;NA;18;Bestvi;2013
BSW18004;NA;98.75;76.5;NA;NA;NA;18;Bestvi;2013
BSW18003;106.5;98.75;76.5;NA;NA;NA;18;Bestvi;2013
PSW18011;106.5;98.75;76.5;NA;NA;NA;18;Praha;2013
PSW18035;134.5;48,0000;90.5;NA;NA;NA;18;Praha;2013
BSW18032;132.5;76,0000;90.5;NA;NA;NA;18;Bestvi;2013
PSW21063;106.5;76,0000;90.5;NA;NA;NA;21;Praha;2013
PSW21065;106.5;76,0000;90.5;NA;NA;696,0000;21;Praha;2013
BSW18007;113.75;119,0000;93,0000;NA;NA;NA;18;Bestvi;2013
DSW18006;155,0000;24.V;94.25;NA;NA;NA;18;Domazlice;2013
KSW18002;155,0000;24.V;94.25;NA;NA;NA;18;Klatovy;2013
DSW18026;112.5;72,0000;95,0000;NA;NA;NA;18;Domazlice;2013
PSW21047;88.5;96,0000;95,0000;NA;NA;NA;21;Praha;2013
PSW21046;88.5;96,0000;95,0000;NA;NA;720,0000;21;Praha;2013
PSW18013;131.25;74,0000;95.5;NA;NA;NA;18;Praha;2013
PSW1803004;NA;NA;95.5;NA;NA;NA;18;Praha;2013
KSW18001;NA;47.5;96,0000;NA;NA;NA;18;Klatovy;2013
KSW18008;158.75;49,0000;96,0000;NA;NA;NA;18;Klatovy;2013
BSW21027;107,0000;49,0000;96,0000;NA;NA;NA;21;Bestvi;2013
73B21;72,0000;72,0000;96,0000;240,0000;NA;NA;21;Bestvi;2012
74B21;72,0000;72,0000;96,0000;240,0000;NA;NA;21;Bestvi;2012
75B21;72,0000;72,0000;96,0000;240,0000;NA;NA;21;Bestvi;2012
76B21;72,0000;72,0000;96,0000;240,0000;NA;NA;21;Bestvi;2012
71B21;72,0000;72,0000;96,0000;168,0000;240,0000;648,0000;21;Bestvi;2012
72B21;72,0000;72,0000;96,0000;168,0000;312,0000;720,0000;21;Bestvi;2012
93P15;144,0000;96,0000;96,0000;NA;NA;NA;15;Praha;2012
PSW15004;181.8750007;125,0000;96,0000;NA;NA;NA;15;Praha;2013
5B15;96,0000;192,0000;96,0000;NA;NA;NA;15;Bestvi;2012
6B15;96,0000;192,0000;96,0000;NA;NA;NA;15;Bestvi;2012
7B15;96,0000;192,0000;96,0000;NA;NA;NA;15;Bestvi;2012
8B15;96,0000;192,0000;96,0000;NA;NA;NA;15;Bestvi;2012
9B15;96,0000;192,0000;96,0000;NA;NA;NA;15;Bestvi;2012
3B15;72,0000;216,0000;96,0000;408,0000;288,0000;1080,0000;15;Bestvi;2012
4B15;72,0000;216,0000;96,0000;408,0000;NA;NA;15;Bestvi;2012
115B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
116B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
117B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
118B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
119B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
120B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
121B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
122B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
123B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
124B25;NA;NA;96,0000;NA;NA;NA;25;Bestvi;2012
98P15;NA;NA;96,0000;NA;NA;NA;15;Praha;2012
99P15;NA;NA;96,0000;408,0000;288,0000;NA;15;Praha;2012
132P21;NA;NA;96,0000;240,0000;NA;NA;21;Praha;2012
125B25;NA;NA;96,0000;240,0000;NA;NA;25;Bestvi;2012
BSW18002;NA;46.5;98,0000;NA;NA;NA;18;Bestvi;2013
BSW18001;133,0000;46.5;98,0000;NA;NA;NA;18;Bestvi;2013
PSW15001;180,0000;94,0000;98,0000;NA;NA;NA;15;Praha;2013
DSW18011;NA;47.75;98.75;NA;NA;NA;18;Domazlice;2013
BSW18019;180.7500007;25,0000;100,0000;NA;NA;NA;18;Bestvi;2013
PSW18024;180.7500007;25,0000;100,0000;NA;NA;NA;18;Praha;2013
PSW18026;180.7500007;25,0000;100,0000;NA;NA;NA;18;Praha;2013
DSW18020;137.7500007;68,0000;100,0000;NA;NA;NA;18;Domazlice;2013
PSW21071;86,0000;90.5;100.5;NA;NA;NA;21;Praha;2013
KSW18011;133,0000;114.5;100.5;NA;NA;NA;18;Klatovy;2013
PSW18039;133,0000;114.5;100.5;NA;NA;NA;18;Praha;2013
BSW18034;160.5;24,0000;114.5;NA;NA;NA;18;Bestvi;2013
BSW18028;112.5;72,0000;114.5;NA;NA;NA;18;Bestvi;2013
DSW18015;158.25;25.V;119,0000;NA;NA;NA;18;Domazlice;2013
BSW18024;155,0000;27,0000;121,0000;NA;NA;NA;18;Bestvi;2013
DSW18018;137.7500007;95,0000;121,0000;NA;NA;NA;18;Domazlice;2013
DSW18016;111.25;95,0000;121,0000;NA;NA;NA;18;Domazlice;2013
PSW18001;NA;46,0000;121.5;NA;NA;NA;18;Praha;2013
PSW15003;180,0000;94,0000;125.5;NA;NA;NA;15;Praha;2013
PSW21049;88.5;96,0000;138.75;NA;NA;NA;21;Praha;2013
PSW21026;86.375;76.5;144,0000;NA;NA;NA;21;Praha;2013
136P15;216,0000;144,0000;144,0000;288,0000;NA;NA;15;Praha;2012
15P15;NA;NA;144,0000;NA;NA;NA;15;Praha;2012
14P15;NA;NA;144,0000;480,0000;NA;NA;15;Praha;2012
13P15;NA;NA;144,0000;408,0000;NA;NA;15;Praha;2012
12P15;NA;NA;144,0000;336,0000;528,0000;NA;15;Praha;2012
PSW21051;113.0000007;44,0000;147,0000;NA;NA;NA;21;Praha;2013
KSW1801006;155.5;24.V;147.5;NA;NA;NA;18;Klatovy;2013
DSW18017;111.25;68,0000;148,0000;NA;NA;NA;18;Domazlice;2013
PSW18005;133,0000;94.25;151.25;NA;NA;NA;18;Praha;2013
DSW18023;105.5;100,0000;167,0000;NA;NA;NA;18;Domazlice;2013
25B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
26B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
27B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
28B15;72,0000;72,0000;168,0000;NA;NA;NA;15;Bestvi;2012
